"","PARID","saledate","date2","price","saleyr","SALETYPE","SALEVAL","presale","postsale","value","adj_price","lnadj_price"
"813","07K231137",2024-07-25,"07-2024",1e+05,2024,"2","I",2023,2025,313.566,101287.448256507,11.5257177759112
"814","07K240399",2024-01-02,"01-2024",99913,2024,"2","5",2023,2025,309.794,102431.514293369,11.5369497010113
"815","07K240399",2024-05-20,"05-2024",80000,2024,"2","I",2023,2025,313.14,81140.1928849716,11.3039337139448
"816","07K240399",2024-09-27,"09-2024",230000,2024,"2","X",2023,2025,314.851,232010.347751794,12.3545372520322
"817","07K240476",2024-01-17,"01-2024",169900,2024,"2","X",2023,2025,309.794,174182.681717528,12.0678599223708
"818","07K240542",2024-02-01,"02-2024",175000,2024,"2","X",2023,2025,311.022,178702.873108655,12.0934797788507
"819","07K240951",2024-08-21,"08-2024",35000,2024,"2","I",2023,2025,314.131,35386.8449786872,10.4740954192859
"820","07K240951",2024-08-30,"08-2024",77000,2024,"2","I",2023,2025,314.131,77851.0589531119,11.2625527796502
"821","07K241114",2024-07-19,"07-2024",210000,2024,"2","X",2023,2025,313.566,212703.641338666,12.2676551206406
"822","07K310139",2024-08-26,"08-2024",205000,2024,"2","X",2023,2025,314.131,207265.80630374,12.2417573369349
"823","07K310667",2024-09-20,"09-2024",122000,2024,"2","X",2023,2025,314.851,123066.358372691,11.7204789878423
"824","07K310689",2024-04-17,"04-2024",154500,2024,"2","X",2023,2025,313.016,156764.074360416,11.9624972430476
"825","07K310975",2024-07-26,"07-2024",52600,2024,"2","5",2023,2025,313.566,53277.1977829229,10.8832637096668
"826","07K310975",2024-08-21,"08-2024",85000,2024,"2","Z",2023,2025,314.131,85939.4806625261,11.3613986142868
"827","07K310997",2024-05-31,"05-2024",98500,2024,"2","I",2023,2025,313.14,99903.8624896213,11.511963627449
"828","07K320446",2024-08-21,"08-2024",91000,2024,"2","5",2023,2025,314.131,92005.7969445868,11.4296068643134
"829","07K320491",2024-02-29,"02-2024",144000,2024,"2","X",2023,2025,311.022,147046.93558655,11.8985071045032
"830","07K320556",2024-03-27,"03-2024",165000,2024,"2","X",2023,2025,312.107,167905.542009631,12.031156850321
"831","07K320655",2024-07-19,"07-2024",175000,2024,"2","X",2023,2025,313.566,177253.034448888,12.0853335638466
"832","07K320688",2024-02-05,"02-2024",153000,2024,"2","X",2023,2025,311.022,156237.36906071,11.9591317263196
"833","07K330126",2024-07-15,"07-2024",150000,2024,"2","X",2023,2025,313.566,151931.172384761,11.9311828840194
"834","07K330676",2024-05-01,"05-2024",175000,2024,"2","X",2023,2025,313.14,177494.171935875,12.0866930531945
"835","07K330764",2024-09-12,"09-2024",173200,2024,"2","I",2023,2025,314.851,174713.879263525,12.0709049392374
"836","07K330885",2024-07-09,"07-2024",174900,2024,"2","X",2023,2025,313.566,177151.747000631,12.0847619719477
"837","07K330984",2024-01-23,"01-2024",128000,2024,"2","X",2023,2025,309.794,131226.505355172,11.7846801576125
"838","07K331413",2024-06-21,"06-2024",144000,2024,"2","X",2023,2025,313.131,146056.545024287,11.8917491203981
"839","07K340082",2024-05-14,"05-2024",160000,2024,"2","X",2023,2025,313.14,162280.385769943,11.9970808945048
"840","07K340246",2024-10-03,"10-2024",170000,2024,"2","X",2023,2025,315.564,171098.44595708,12.0499943771802
"841","07K340334",2024-10-28,"10-2024",138000,2024,"2","X",2023,2025,315.564,138891.679659277,11.8414496252872
"842","07K340422",2024-04-03,"04-2024",189900,2024,"2","X",2023,2025,313.016,192682.833145909,12.1688007645281
"843","07K340554",2024-05-09,"05-2024",195000,2024,"2","X",2023,2025,313.14,197779.220157118,12.1949066378347
"844","07K340675",2024-08-22,"08-2024",180000,2024,"2","X",2023,2025,314.131,181989.48846182,12.1117042086867
"845","07K340796",2024-05-03,"05-2024",185000,2024,"2","X",2023,2025,313.14,187636.696046497,12.1422629043493
"846","07K341049",2024-09-18,"09-2024",170000,2024,"2","X",2023,2025,314.851,171485.909207848,12.0522563801593
"847","07K341236",2024-04-01,"04-2024",137900,2024,"2","X",2023,2025,313.016,139920.814590947,11.8488319315091
"848","07K341335",2024-07-08,"07-2024",105125,2024,"2","I",2023,2025,313.566,106478.429979653,11.5756977082162
"849","07K341391",2024-08-02,"08-2024",158000,2024,"2","X",2023,2025,314.131,159746.328760931,11.9813423908235
"850","07K410075",2024-07-17,"07-2024",248000,2024,"2","X",2023,2025,313.566,251192.871676138,12.4339763360881
"851","07K410262",2024-03-13,"03-2024",120500,2024,"2","Z",2023,2025,312.107,122621.926134306,11.7168611293511
"852","07K410910",2024-10-29,"10-2024",105000,2024,"2","X",2023,2025,315.564,105678.451914667,11.5681562902875
"853","07K420128",2024-04-30,"04-2024",156000,2024,"2","X",2023,2025,313.016,158286.055664886,11.9721591539593
"854","07K420403",2024-01-10,"01-2024",142000,2024,"2","X",2023,2025,309.794,145579.404378393,11.8884769512941
"855","07K420458",2024-08-07,"08-2024",255000,2024,"2","X",2023,2025,314.131,257818.441987578,12.4600109029549
"856","07K420580",2024-07-15,"07-2024",315000,2024,"2","X",2023,2025,313.566,319055.462007998,12.6731202287488
"857","07K420810",2024-06-05,"06-2024",160000,2024,"2","I",2023,2025,313.131,162285.050026986,11.997109636056
"858","07K430798",2024-01-29,"01-2024",115000,2024,"2","I",2023,2025,309.794,117898.813405037,11.6775820220561
"859","07K430798",2024-06-28,"06-2024",228500,2024,"2","X",2023,2025,313.131,231763.337069789,12.3534720311564
"860","07K431041",2024-09-25,"09-2024",295000,2024,"2","X",2023,2025,314.851,297578.489507735,12.6034332994488
"861","07K431195",2024-01-04,"01-2024",234750,2024,"2","X",2023,2025,309.794,240667.360407238,12.3911710117813
"862","07K440292",2024-09-24,"09-2024",215000,2024,"2","X",2023,2025,314.851,216879.238115807,12.2870959712367
"863","07K440324",2024-07-01,"07-2024",180000,2024,"2","X",2023,2025,313.566,182317.406861713,12.1135044408133
"864","07K441226",2024-02-20,"02-2024",274900,2024,"2","X",2023,2025,311.022,280716.684671824,12.5451012000984
"865","07K510120",2024-04-19,"04-2024",167460,2024,"2","X",2023,2025,313.016,169913.992831037,12.0430476634861
"866","07K510351",2024-03-29,"03-2024",190000,2024,"2","X",2023,2025,312.107,193345.775647454,12.1722354485809
"867","07K510384",2024-09-18,"09-2024",133500,2024,"2","I",2023,2025,314.851,134666.87576028,11.8105594209493
"868","07K510438",2024-03-14,"03-2024",160000,2024,"2","X",2023,2025,312.107,162817.495282067,12.0003851916542
"869","07K510494",2024-06-18,"06-2024",180000,2024,"2","X",2023,2025,313.131,182570.681280359,12.1148926717124
"870","07K510801",2024-07-02,"07-2024",215000,2024,"2","X",2023,2025,313.566,217768.013751491,12.2911856180508
"871","07K510834",2024-09-16,"09-2024",170000,2024,"2","X",2023,2025,314.851,171485.909207848,12.0522563801593
"872","07K511527",2024-01-29,"01-2024",162000,2024,"2","I",2023,2025,309.794,166083.545840139,12.0202462289253
"873","07K511527",2024-05-14,"05-2024",199900,2024,"2","X",2023,2025,313.14,202749.056971323,12.2197243207773
"874","07K520503",2024-02-13,"02-2024",194000,2024,"2","X",2023,2025,311.022,198104.89933188,12.1965519639905
"875","07K520558",2024-05-02,"05-2024",162500,2024,"2","X",2023,2025,313.14,164816.016797599,12.0125850810408
"876","07K520613",2024-06-03,"06-2024",123000,2024,"2","X",2023,2025,313.131,124756.632208245,11.7341201761946
"877","07K520877",2024-05-31,"05-2024",168000,2024,"2","X",2023,2025,313.14,170394.40505844,12.0458710586742
"878","07K521207",2024-10-07,"10-2024",96000,2024,"2","I",2023,2025,315.564,96620.2988934099,11.4785441315978
"879","07K521285",2024-07-30,"07-2024",106700,2024,"2","I",2023,2025,313.566,108073.707289693,11.5905687482308
"880","07K530393",2024-09-25,"09-2024",120000,2024,"2","I",2023,2025,314.851,121048.877087892,11.7039496858911
"881","07K530591",2024-06-25,"06-2024",170000,2024,"2","X",2023,2025,313.131,172427.865653672,12.0577342578724
"882","07K530601",2024-05-17,"05-2024",150000,2024,"2","X",2023,2025,313.14,152137.861659322,11.9325423733672
"883","07K530711",2024-03-15,"03-2024",220000,2024,"2","X",2023,2025,312.107,223874.056012842,12.3188389227727
"884","07K530986",2024-07-29,"07-2024",231500,2024,"2","X",2023,2025,313.566,234480.442713815,12.3651274634494
"885","07K540039",2024-03-04,"03-2024",124500,2024,"2","X",2023,2025,312.107,126692.363516358,11.7495170923251
"886","07K540248",2024-03-27,"03-2024",2e+05,2024,"2","X",2023,2025,312.107,203521.869102583,12.2235287429684
"887","07K540271",2024-01-03,"01-2024",154750,2024,"2","X",2023,2025,309.794,158650.794560256,11.9744608052576
"888","07K540293",2024-08-15,"08-2024",172000,2024,"2","X",2023,2025,314.131,173901.066752406,12.06624183461
"889","07K540435",2024-09-13,"09-2024",90000,2024,"2","I",2023,2025,314.851,90786.6578159193,11.4162676134393
"890","07K540567",2024-01-19,"01-2024",135000,2024,"2","X",2023,2025,309.794,138402.954866782,11.8379246721313
"891","07K540930",2024-10-03,"10-2024",153000,2024,"2","I",2023,2025,315.564,153988.601361372,11.9446338615224
